attr1,group1,attr2,group2,n,n_eff,auc_subgroup,auc_overall,gap_vs_overall,score
gender,Female,region,Northeast,21,2.0,0.19999999999999996,0.8302050292665382,0.6302050292665382,0.8912444994644717
age_group,over_65,region,Midwest,87,16.0,0.6495253164556962,0.8302050292665382,0.18067971281084194,0.7227188512433678
gender,Female,age_group,over_65,115,16.0,0.6559579439252337,0.8302050292665382,0.1742470853413045,0.696988341365218
ethnicity,African American,gender,Male,36,4.0,0.5294117647058824,0.8302050292665382,0.3007932645606558,0.6015865291213116
ethnicity,African American,region,South,39,4.0,0.5810810810810811,0.8302050292665382,0.24912394818545702,0.49824789637091405
ethnicity,Caucasian,age_group,over_65,256,52.0,0.7616220735785953,0.8302050292665382,0.06858295568794281,0.4945587267115049
ethnicity,African American,age_group,45_65,30,4.0,0.5892857142857143,0.8302050292665382,0.24091931498082386,0.4818386299616477
gender,Female,region,Midwest,73,6.0,0.6547619047619047,0.8302050292665382,0.1754431245046335,0.4297461339159318
ethnicity,Caucasian,gender,Female,208,26.0,0.7564102564102564,0.8302050292665382,0.07379477285628178,0.3762809867953279
age_group,over_65,region,Northeast,28,6.0,0.6799999999999999,0.8302050292665382,0.15020502926653823,0.3679256785028324
age_group,over_65,region,West,87,26.000000000000004,0.7723492723492723,0.8302050292665382,0.057855756917265855,0.29500763349481934
age_group,over_65,region,Unknown,29,4.0,0.6851851851851852,0.8302050292665382,0.14501984408135293,0.29003968816270587
gender,Male,age_group,over_65,185,48.0,0.793737060041408,0.8302050292665382,0.03646796922513018,0.2526575021871348
ethnicity,Caucasian,region,West,132,24.0,0.7826388888888889,0.8302050292665382,0.04756614037764928,0.23302554591767333
ethnicity,Caucasian,region,Northeast,42,8.0,0.756578947368421,0.8302050292665382,0.07362608189811715,0.20824600712941901
gender,Male,region,Midwest,123,20.0,0.7929203539823009,0.8302050292665382,0.03728467528423729,0.16674213690912176
ethnicity,Caucasian,region,Midwest,169,26.0,0.798570019723866,0.8302050292665382,0.03163500954267218,0.16130753097077938
gender,Female,region,Unknown,29,4.0,0.7592592592592593,0.8302050292665382,0.07094577000727886,0.14189154001455773
ethnicity,Caucasian,region,Unknown,43,6.0,0.775,0.8302050292665382,0.05520502926653814,0.13522415293843032
gender,Male,age_group,45_65,122,24.0,0.8151515151515152,0.8302050292665382,0.015053514115022981,0.07374685683518116
gender,Female,region,West,45,10.0,0.81,0.8302050292665382,0.02020502926653811,0.06389391267262176
age_group,45_65,region,South,67,16.0,0.815677966101695,0.8302050292665382,0.014527063164843201,0.058108252659372805
gender,Male,region,Unknown,26,2.0,0.8,0.8302050292665382,0.03020502926653812,0.04271636204061447
gender,Male,region,South,98,20.0,0.8409090909090909,0.8302050292665382,-0.010704061642552776,-0.047870018936192124
gender,Male,region,West,112,26.0,0.83993783993784,0.8302050292665382,-0.009732810671301828,-0.04962779153507211
gender,Male,region,Northeast,21,6.0,0.9074074074074074,0.8302050292665382,-0.07720237814086928,-0.1891064333745275
age_group,under_45,region,West,36,2.0,0.9714285714285714,0.8302050292665382,-0.14122354216203326,-0.19972024865191604
gender,Male,age_group,under_45,73,2.0,0.9861111111111112,0.8302050292665382,-0.155906081844573,-0.22048449540104492
ethnicity,Caucasian,gender,Male,298,58.0,0.8596333803358545,0.8302050292665382,-0.029428351069316294,-0.22411964462362044
age_group,under_45,region,South,43,2.0,1.0,0.8302050292665382,-0.16979497073346184,-0.2401263504340045
gender,Female,age_group,under_45,47,2.0,1.0,0.8302050292665382,-0.16979497073346184,-0.2401263504340045
ethnicity,Hispanic,gender,Male,24,4.0,0.9545454545454545,0.8302050292665382,-0.12434042527891631,-0.24868085055783262
age_group,45_65,region,Midwest,84,10.0,0.9113924050632911,0.8302050292665382,-0.08118737579675295,-0.25673702476976684
age_group,45_65,region,West,34,8.0,0.9333333333333333,0.8302050292665382,-0.10312830406679518,-0.29169089255159636
age_group,over_65,region,South,69,12.0,0.962962962962963,0.8302050292665382,-0.13275793369642486,-0.4598869725401363
gender,Female,region,South,82,10.0,0.9818181818181818,0.8302050292665382,-0.15161315255164365,-0.47944288530176327
ethnicity,Caucasian,age_group,45_65,161,31.999999999999996,0.9262931034482759,0.8302050292665382,-0.0960880741817377,-0.543556230760502
gender,Female,age_group,45_65,87,14.0,0.9785714285714286,0.8302050292665382,-0.14836639930489048,-0.5551362339081957
ethnicity,Caucasian,region,South,120,20.0,0.9618181818181818,0.8302050292665382,-0.13161315255164363,-0.5885919116770502
